Title,Ratings,Price,Price_per_Kg
Shazans Halal Beef Mince (Typically Less Than 20% Fat),2.38,now £4.40,(£8.80/kg)
Shazans Halal Chicken Breast Fillets,3.58,now £4.00,(£8.89/kg)
Shazans Diced Chicken Breast,3.08,now £4.35,(£9.67/kg)
Shazans Chicken Mini Fillets,3,now £4.50,(£9.00/kg)
Shazans Chicken Thigh Fillets,2.15,now £4.50,(£7.50/kg)
Shazans Halal Small Chicken,3.85,now £4.00,(£4.00/kg)
Shazans Chicken Drumsticks,3.16,now £4.30,(£4.30/kg)
Shazans Peri Peri Baby Chicken,3.95,now £3.75,(£4.69/kg)
Shazans Lamb Sausages,3.04,now £4.50,(£5.36/kg)
Shazans Chicken Drumsticks & Thighs,3.31,now £4.15,(£4.15/kg)
Shazans Chicken Thighs,2.79,now £4.30,(£4.30/kg)
Shazans Halal Peri Peri Chicken Thighs,3.44,now £5.00,(£5.56/kg)
Gino's Premium Southern Fried Chicken Fillets,3.57,now £3.75,(£7.50/kg)
Shazans 4 Quarter Pound Beef Burgers,3.22,now £4.30,(£9.47/kg)
Jahan Southern Fried Chicken Popcorn,3.29,now £2.25,(£4.50/kg)
Shazans Peri Peri Chicken Drumsticks,3.5,now £4.15,(£4.61/kg)
Shazans Halal Peri Peri Chicken Platter,2.75,now £5.50,(£3.44/kg)
Jahan Battered Chicken Nuggets,3.04,now £2.25,(£4.50/kg)
Najma Halal Sliced Turkey Rashers Smoked 150g,4.08,now £2.60,(£1.73/100g)
Gino's Battered Chicken Nuggets,2.41,now £2.90,(£5.80/kg)
Shazans 4 Lamb Burgers,3.9,now £4.40,(£9.69/kg)
"Shazans Jerk Chicken Legs, Thighs & Wings",2.61,now £5.50,(£3.44/kg)
Shazans Select 12 Lamb Koftas,3.29,now £4.15,(£10.38/kg)
Jahan 12 Charcoal Cooked Chicken Kebabs,3.05,now £4.50,(£7.50/kg)
Shazans Halal Tandoori Chicken Drumsticks,4.83,now £4.15,(£4.61/kg)
Najma Spanish Selection Deli Style 120g,3.75,now £2.40,(£2.00/100g)
Najma Sliced Cooked Chicken,4.6,now £2.20,(£1.47/100g)
Najma Smoked Beechwood Turkey Rashers 130g,3.5,now £2.99,(£2.30/100g)
Port Royal Jamaican  Beef & Cheese Patty,3.4,now £1.30,(£9.29/kg)
Jahan Chicken Shawarma Kebab,5,now £3.99,(£8.87/kg)
Shazans Meat Samosas,3.62,now £4.50,(22.5p/each)
Grace Chicken Vienna Sausage,4.5,now £1.40,(£7.00/kg)
Shazans Coronation Chicken Sizzlers,3.67,now £4.40,(£12.57/kg)
Tahira Chicken Mortadella with Paprika,4.33,now £1.10,(55.0p/100g)
Aunty Noray's 6 Hand Made Charcoaled Premium Meat Seekh Kebabs,3.64,now £3.50,(£11.67/kg)
